Bait	Prey	PreyGene	Spec	SpecSum	AvgSpec	NumReplicates	ctrlCounts	AvgP	MaxP	TopoAvgP	TopoMaxP	SaintScore	FoldChange	BFDR	boosted_by
HumanCicGFP	P63208	SKP1	4	4	4.00	1	2	0.10	0.10	0.10	0.10	0.10	2.00	0.30	
HumanCicGFP	P53985	SLC16A1	1	1	1.00	1	1	0.00	0.00	0.00	0.00	0.00	1.00	0.58	
HumanCicGFP	Q15758	SLC1A5	5	5	5.00	1	3	0.01	0.01	0.01	0.01	0.01	1.67	0.40	
HumanCicGFP	P53007	SLC25A1	2	2	2.00	1	2	0.00	0.00	0.00	0.00	0.00	1.00	0.58	
HumanCicGFP	Q02978	SLC25A11	2	2	2.00	1	2	0.00	0.00	0.00	0.00	0.00	1.00	0.58	
HumanCicGFP	O75746	SLC25A12	3	3	3.00	1	1	0.47	0.47	0.47	0.47	0.47	3.00	0.05	
HumanCicGFP	Q9UJS0	SLC25A13	6	6	6.00	1	2	0.60	0.60	0.60	0.60	0.60	3.00	0.04	
HumanCicGFP	Q9H1K4	SLC25A18	1	1	1.00	1	0	0.00	0.00	0.00	0.00	0.00	10.00	0.58	
HumanCicGFP	Q00325	SLC25A3	4	4	4.00	1	4	0.00	0.00	0.00	0.00	0.00	1.00	0.58	
HumanCicGFP	P12235	SLC25A4	2	2	2.00	1	0	0.96	0.96	0.96	0.96	0.96	20.00	0.01	
HumanCicGFP	P05141	SLC25A5	11	11	11.00	1	9	0.00	0.00	0.00	0.00	0.00	1.22	0.54	
HumanCicGFP	P12236	SLC25A6	2	2	2.00	1	1	0.19	0.19	0.19	0.19	0.19	2.00	0.13	
HumanCicGFP	Q01650	SLC7A5	1	1	1.00	1	1	0.00	0.00	0.00	0.00	0.00	1.00	0.58	
HumanCicGFP	O15198	SMAD9	1	1	1.00	1	1	0.00	0.00	0.00	0.00	0.00	1.00	0.58	
HumanCicGFP	O60264	SMARCA5	1	1	1.00	1	0	0.00	0.00	0.00	0.00	0.00	10.00	0.58	
HumanCicGFP	O95347	SMC2	2	2	2.00	1	0	0.96	0.96	0.96	0.96	0.96	20.00	0.01	
HumanCicGFP	Q9NTJ3	SMC4	1	1	1.00	1	0	0.00	0.00	0.00	0.00	0.00	10.00	0.58	
HumanCicGFP	Q16637	SMN	2	2	2.00	1	3	0.00	0.00	0.00	0.00	0.00	0.67	0.58	
HumanCicGFP	Q2TAY7	SMU1	1	1	1.00	1	1	0.00	0.00	0.00	0.00	0.00	1.00	0.58	
HumanCicGFP	Q7KZF4	SND1	1	1	1.00	1	0	0.00	0.00	0.00	0.00	0.00	10.00	0.58	
HumanCicGFP	O75643	SNRNP200	2	2	2.00	1	2	0.00	0.00	0.00	0.00	0.00	1.00	0.58	
HumanCicGFP	P08621	SNRNP70	1	1	1.00	1	0	0.00	0.00	0.00	0.00	0.00	10.00	0.58	
HumanCicGFP	P09012	SNRPA	2	2	2.00	1	2	0.00	0.00	0.00	0.00	0.00	1.00	0.58	
HumanCicGFP	P09661	SNRPA1	5	5	5.00	1	7	0.00	0.00	0.00	0.00	0.00	0.71	0.58	
HumanCicGFP	P14678	SNRPB	2	2	2.00	1	2	0.00	0.00	0.00	0.00	0.00	1.00	0.58	
HumanCicGFP	P08579	SNRPB2	1	1	1.00	1	2	0.00	0.00	0.00	0.00	0.00	0.50	0.58	
HumanCicGFP	P62314	SNRPD1	2	2	2.00	1	1	0.19	0.19	0.19	0.19	0.19	2.00	0.13	
HumanCicGFP	P62316	SNRPD2	3	3	3.00	1	3	0.00	0.00	0.00	0.00	0.00	1.00	0.58	
HumanCicGFP	P62318	SNRPD3	2	2	2.00	1	1	0.19	0.19	0.19	0.19	0.19	2.00	0.13	
HumanCicGFP	P62304	SNRPE	1	1	1.00	1	1	0.00	0.00	0.00	0.00	0.00	1.00	0.58	
HumanCicGFP	Q13573	SNW1	4	4	4.00	1	2	0.10	0.10	0.10	0.10	0.10	2.00	0.30	
HumanCicGFP	P00441	SOD1	1	1	1.00	1	1	0.00	0.00	0.00	0.00	0.00	1.00	0.58	
HumanCicGFP	P35270	SPR	4	4	4.00	1	3	0.00	0.00	0.00	0.00	0.00	1.33	0.43	
HumanCicGFP	Q9UBC9	SPRR3	1	1	1.00	1	0	0.00	0.00	0.00	0.00	0.00	10.00	0.58	
HumanCicGFP	Q13813	SPTAN1	3	3	3.00	1	2	0.03	0.03	0.03	0.03	0.03	1.50	0.35	
HumanCicGFP	Q01082	SPTBN1	1	1	1.00	1	1	0.00	0.00	0.00	0.00	0.00	1.00	0.58	
HumanCicGFP	O15269	SPTLC1	2	2	2.00	1	2	0.00	0.00	0.00	0.00	0.00	1.00	0.58	
HumanCicGFP	O15270	SPTLC2	1	1	1.00	1	0	0.00	0.00	0.00	0.00	0.00	10.00	0.58	
HumanCicGFP	Q9UHB9	SRP68	1	1	1.00	1	3	0.00	0.00	0.00	0.00	0.00	0.33	0.58	
HumanCicGFP	O76094	SRP72	4	4	4.00	1	1	0.75	0.75	0.75	0.75	0.75	4.00	0.03	
HumanCicGFP	Q96SB4	SRPK1	2	2	2.00	1	0	0.96	0.96	0.96	0.96	0.96	20.00	0.01	
HumanCicGFP	Q9Y5M8	SRPRB	1	1	1.00	1	1	0.00	0.00	0.00	0.00	0.00	1.00	0.58	
HumanCicGFP	Q8IYB3	SRRM1	1	1	1.00	1	0	0.00	0.00	0.00	0.00	0.00	10.00	0.58	
HumanCicGFP	Q07955	SRSF1	2	2	2.00	1	5	0.00	0.00	0.00	0.00	0.00	0.40	0.58	
HumanCicGFP	O75494	SRSF10	1	1	1.00	1	0	0.00	0.00	0.00	0.00	0.00	10.00	0.58	
HumanCicGFP	Q05519	SRSF11	3	3	3.00	1	0	0.99	0.99	0.99	0.99	0.99	30.00	0.00	
HumanCicGFP	Q01130	SRSF2	1	1	1.00	1	1	0.00	0.00	0.00	0.00	0.00	1.00	0.58	
HumanCicGFP	P84103	SRSF3	2	2	2.00	1	2	0.00	0.00	0.00	0.00	0.00	1.00	0.58	
HumanCicGFP	Q08170	SRSF4	3	3	3.00	1	3	0.00	0.00	0.00	0.00	0.00	1.00	0.58	
HumanCicGFP	Q13243	SRSF5	2	2	2.00	1	3	0.00	0.00	0.00	0.00	0.00	0.67	0.58	
HumanCicGFP	Q13247	SRSF6	1	1	1.00	1	1	0.00	0.00	0.00	0.00	0.00	1.00	0.58	
HumanCicGFP	Q16629	SRSF7	1	1	1.00	1	1	0.00	0.00	0.00	0.00	0.00	1.00	0.58	
HumanCicGFP	P05455	SSB	5	5	5.00	1	6	0.00	0.00	0.00	0.00	0.00	0.83	0.58	
HumanCicGFP	Q04837	SSBP1	2	2	2.00	1	2	0.00	0.00	0.00	0.00	0.00	1.00	0.58	
HumanCicGFP	P51571	SSR4	4	4	4.00	1	4	0.00	0.00	0.00	0.00	0.00	1.00	0.58	
HumanCicGFP	Q08945	SSRP1	5	5	5.00	1	0	1.00	1.00	1.00	1.00	1.00	50.00	0.00	
HumanCicGFP	P50502	ST13	6	6	6.00	1	3	0.05	0.05	0.05	0.05	0.05	2.00	0.33	
HumanCicGFP	O95793	STAU1	4	4	4.00	1	4	0.00	0.00	0.00	0.00	0.00	1.00	0.58	
HumanCicGFP	P31948	STIP1	2	2	2.00	1	5	0.00	0.00	0.00	0.00	0.00	0.40	0.58	
HumanCicGFP	P16949	STMN1	1	1	1.00	1	1	0.00	0.00	0.00	0.00	0.00	1.00	0.58	
HumanCicGFP	Q9UJZ1	STOML2	2	2	2.00	1	1	0.19	0.19	0.19	0.19	0.19	2.00	0.13	
HumanCicGFP	Q9Y3F4	STRAP	3	3	3.00	1	5	0.00	0.00	0.00	0.00	0.00	0.60	0.58	
HumanCicGFP	P46977	STT3A	1	1	1.00	1	2	0.00	0.00	0.00	0.00	0.00	0.50	0.58	
HumanCicGFP	P55854	SUMO3	1	1	1.00	1	0	0.00	0.00	0.00	0.00	0.00	10.00	0.58	
HumanCicGFP	Q9Y5B9	SUPT16H	1	1	1.00	1	0	0.00	0.00	0.00	0.00	0.00	10.00	0.58	
HumanCicGFP	O60506	SYNCRIP	11	11	11.00	1	8	0.00	0.00	0.00	0.00	0.00	1.38	0.53	
HumanCicGFP	P37837	TALDO1	1	1	1.00	1	5	0.00	0.00	0.00	0.00	0.00	0.20	0.58	
HumanCicGFP	Q13148	TARDBP	2	2	2.00	1	1	0.19	0.19	0.19	0.19	0.19	2.00	0.13	
HumanCicGFP	P26639	TARS1	2	2	2.00	1	1	0.19	0.19	0.19	0.19	0.19	2.00	0.13	
HumanCicGFP	Q8TC07	TBC1D15	1	1	1.00	1	0	0.00	0.00	0.00	0.00	0.00	10.00	0.58	
HumanCicGFP	Q16650	TBR1	2	2	2.00	1	1	0.19	0.19	0.19	0.19	0.19	2.00	0.13	
HumanCicGFP	P23193	TCEA1	1	1	1.00	1	0	0.00	0.00	0.00	0.00	0.00	10.00	0.58	
HumanCicGFP	P17987	TCP1	12	12	12.00	1	13	0.00	0.00	0.00	0.00	0.00	0.92	0.58	
HumanCicGFP	Q9NZ01	TECR	2	2	2.00	1	2	0.00	0.00	0.00	0.00	0.00	1.00	0.58	
HumanCicGFP	Q92734	TFG	1	1	1.00	1	2	0.00	0.00	0.00	0.00	0.00	0.50	0.58	
HumanCicGFP	Q8NI27	THOC2	1	1	1.00	1	1	0.00	0.00	0.00	0.00	0.00	1.00	0.58	
HumanCicGFP	Q86W42	THOC6	1	1	1.00	1	1	0.00	0.00	0.00	0.00	0.00	1.00	0.58	
HumanCicGFP	P52888	THOP1	1	1	1.00	1	0	0.00	0.00	0.00	0.00	0.00	10.00	0.58	
HumanCicGFP	O14925	TIMM23	1	1	1.00	1	1	0.00	0.00	0.00	0.00	0.00	1.00	0.58	
HumanCicGFP	O43615	TIMM44	2	2	2.00	1	3	0.00	0.00	0.00	0.00	0.00	0.67	0.58	
HumanCicGFP	Q3ZCQ8	TIMM50	3	3	3.00	1	3	0.00	0.00	0.00	0.00	0.00	1.00	0.58	
HumanCicGFP	P04183	TK1	1	1	1.00	1	0	0.00	0.00	0.00	0.00	0.00	10.00	0.58	
HumanCicGFP	P29401	TKT	4	4	4.00	1	6	0.00	0.00	0.00	0.00	0.00	0.67	0.58	
HumanCicGFP	Q9Y490	TLN1	2	2	2.00	1	3	0.00	0.00	0.00	0.00	0.00	0.67	0.58	
HumanCicGFP	P49755	TMED10	1	1	1.00	1	2	0.00	0.00	0.00	0.00	0.00	0.50	0.58	
HumanCicGFP	Q9BVC6	TMEM109	1	1	1.00	1	1	0.00	0.00	0.00	0.00	0.00	1.00	0.58	
HumanCicGFP	P57088	TMEM33	1	1	1.00	1	1	0.00	0.00	0.00	0.00	0.00	1.00	0.58	
HumanCicGFP	P42166	TMPO	9	9	9.00	1	0	1.00	1.00	1.00	1.00	1.00	90.00	0.00	
HumanCicGFP	Q9H3N1	TMX1	1	1	1.00	1	2	0.00	0.00	0.00	0.00	0.00	0.50	0.58	
HumanCicGFP	Q92973	TNPO1	1	1	1.00	1	0	0.00	0.00	0.00	0.00	0.00	10.00	0.58	
HumanCicGFP	Q9NS69	TOMM22	1	1	1.00	1	1	0.00	0.00	0.00	0.00	0.00	1.00	0.58	
HumanCicGFP	O96008	TOMM40	1	1	1.00	1	0	0.00	0.00	0.00	0.00	0.00	10.00	0.58	
HumanCicGFP	O94826	TOMM70	1	1	1.00	1	1	0.00	0.00	0.00	0.00	0.00	1.00	0.58	
HumanCicGFP	P11387	TOP1	5	5	5.00	1	1	0.90	0.90	0.90	0.90	0.90	5.00	0.02	
HumanCicGFP	P04637	TP53	1	1	1.00	1	0	0.00	0.00	0.00	0.00	0.00	10.00	0.58	
HumanCicGFP	P60174	TPI1	4	4	4.00	1	10	0.00	0.00	0.00	0.00	0.00	0.40	0.58	
HumanCicGFP	P12270	TPR	9	9	9.00	1	5	0.00	0.00	0.00	0.00	0.00	1.80	0.43	
HumanCicGFP	Q12931	TRAP1	1	1	1.00	1	2	0.00	0.00	0.00	0.00	0.00	0.50	0.58	
HumanCicGFP	P36406	TRIM23	1	1	1.00	1	0	0.00	0.00	0.00	0.00	0.00	10.00	0.58	
HumanCicGFP	Q13263	TRIM28	6	6	6.00	1	3	0.05	0.05	0.05	0.05	0.05	2.00	0.33	
HumanCicGFP	Q6PJ69	TRIM65	1	1	1.00	1	1	0.00	0.00	0.00	0.00	0.00	1.00	0.58	
HumanCicGFP	Q15645	TRIP13	1	1	1.00	1	2	0.00	0.00	0.00	0.00	0.00	0.50	0.58	
HumanCicGFP	Q7L0Y3	TRMT10C	1	1	1.00	1	0	0.00	0.00	0.00	0.00	0.00	10.00	0.58	
HumanCicGFP	Q7Z4G4	TRMT11	1	1	1.00	1	1	0.00	0.00	0.00	0.00	0.00	1.00	0.58	
HumanCicGFP	Q7Z2T5	TRMT1L	1	1	1.00	1	0	0.00	0.00	0.00	0.00	0.00	10.00	0.58	
HumanCicGFP	Q9H0U9	TSPYL1	1	1	1.00	1	0	0.00	0.00	0.00	0.00	0.00	10.00	0.58	
HumanCicGFP	Q2NL82	TSR1	1	1	1.00	1	0	0.00	0.00	0.00	0.00	0.00	10.00	0.58	
HumanCicGFP	O95801	TTC4	1	1	1.00	1	0	0.00	0.00	0.00	0.00	0.00	10.00	0.58	
HumanCicGFP	P68363	TUBA1B	4	4	4.00	1	6	0.00	0.00	0.00	0.00	0.00	0.67	0.58	
HumanCicGFP	Q9BQE3	TUBA1C	2	2	2.00	1	0	0.96	0.96	0.96	0.96	0.96	20.00	0.01	
HumanCicGFP	P0DPH7	TUBA3C	13	13	13.00	1	20	0.00	0.00	0.00	0.00	0.00	0.65	0.58	
HumanCicGFP	P68366	TUBA4A	1	1	1.00	1	2	0.00	0.00	0.00	0.00	0.00	0.50	0.58	
HumanCicGFP	A6NHL2	TUBAL3	5	5	5.00	1	8	0.00	0.00	0.00	0.00	0.00	0.62	0.58	
HumanCicGFP	P07437	TUBB	13	13	13.00	1	18	0.00	0.00	0.00	0.00	0.00	0.72	0.58	
HumanCicGFP	Q13885	TUBB2A	2	2	2.00	1	3	0.00	0.00	0.00	0.00	0.00	0.67	0.58	
HumanCicGFP	Q9BVA1	TUBB2B	1	1	1.00	1	1	0.00	0.00	0.00	0.00	0.00	1.00	0.58	
HumanCicGFP	G3V542	TUBB3	1	1	1.00	1	0	0.00	0.00	0.00	0.00	0.00	10.00	0.58	
HumanCicGFP	P04350	TUBB4A	14	14	14.00	1	15	0.00	0.00	0.00	0.00	0.00	0.93	0.58	
HumanCicGFP	P68371	TUBB4B	1	1	1.00	1	1	0.00	0.00	0.00	0.00	0.00	1.00	0.58	
HumanCicGFP	Q9BUF5	TUBB6	1	1	1.00	1	0	0.00	0.00	0.00	0.00	0.00	10.00	0.58	
HumanCicGFP	A6NNZ2	TUBB8B	2	2	2.00	1	7	0.00	0.00	0.00	0.00	0.00	0.29	0.58	
HumanCicGFP	P23258	TUBG1	1	1	1.00	1	0	0.00	0.00	0.00	0.00	0.00	10.00	0.58	
HumanCicGFP	P49411	TUFM	4	4	4.00	1	9	0.00	0.00	0.00	0.00	0.00	0.44	0.58	
HumanCicGFP	P40222	TXLNA	1	1	1.00	1	0	0.00	0.00	0.00	0.00	0.00	10.00	0.58	
HumanCicGFP	Q9NUQ3	TXLNG	1	1	1.00	1	0	0.00	0.00	0.00	0.00	0.00	10.00	0.58	
HumanCicGFP	P10599	TXN	3	3	3.00	1	7	0.00	0.00	0.00	0.00	0.00	0.43	0.58	
HumanCicGFP	P26368	U2AF2	3	3	3.00	1	2	0.03	0.03	0.03	0.03	0.03	1.50	0.35	
HumanCicGFP	P22314	UBA1	6	6	6.00	1	7	0.00	0.00	0.00	0.00	0.00	0.86	0.58	
HumanCicGFP	Q14157	UBAP2L	1	1	1.00	1	0	0.00	0.00	0.00	0.00	0.00	10.00	0.58	
HumanCicGFP	P68036	UBE2L3	1	1	1.00	1	1	0.00	0.00	0.00	0.00	0.00	1.00	0.58	
HumanCicGFP	Q9C0C9	UBE2O	1	1	1.00	1	0	0.00	0.00	0.00	0.00	0.00	10.00	0.58	
HumanCicGFP	Q16763	UBE2S	1	1	1.00	1	2	0.00	0.00	0.00	0.00	0.00	0.50	0.58	
HumanCicGFP	Q15386	UBE3C	1	1	1.00	1	0	0.00	0.00	0.00	0.00	0.00	10.00	0.58	
HumanCicGFP	P11441	UBL4A	3	3	3.00	1	0	0.99	0.99	0.99	0.99	0.99	30.00	0.00	
HumanCicGFP	P17480	UBTF	1	1	1.00	1	0	0.00	0.00	0.00	0.00	0.00	10.00	0.58	
HumanCicGFP	P09936	UCHL1	1	1	1.00	1	1	0.00	0.00	0.00	0.00	0.00	1.00	0.58	
HumanCicGFP	O94874	UFL1	1	1	1.00	1	0	0.00	0.00	0.00	0.00	0.00	10.00	0.58	
HumanCicGFP	P11172	UMPS	1	1	1.00	1	0	0.00	0.00	0.00	0.00	0.00	10.00	0.58	
HumanCicGFP	Q92900	UPF1	1	1	1.00	1	0	0.00	0.00	0.00	0.00	0.00	10.00	0.58	
HumanCicGFP	Q9BZI7	UPF3B	2	2	2.00	1	0	0.96	0.96	0.96	0.96	0.96	20.00	0.01	
HumanCicGFP	P22695	UQCRC2	3	3	3.00	1	1	0.47	0.47	0.47	0.47	0.47	3.00	0.05	
HumanCicGFP	Q14694	USP10	1	1	1.00	1	0	0.00	0.00	0.00	0.00	0.00	10.00	0.58	
HumanCicGFP	P51784	USP11	1	1	1.00	1	0	0.00	0.00	0.00	0.00	0.00	10.00	0.58	
HumanCicGFP	Q93009	USP7	1	1	1.00	1	0	0.00	0.00	0.00	0.00	0.00	10.00	0.58	
HumanCicGFP	Q9BVJ6	UTP14A	1	1	1.00	1	0	0.00	0.00	0.00	0.00	0.00	10.00	0.58	
HumanCicGFP	Q9Y5J1	UTP18	1	1	1.00	1	0	0.00	0.00	0.00	0.00	0.00	10.00	0.58	
HumanCicGFP	Q99536	VAT1	1	1	1.00	1	3	0.00	0.00	0.00	0.00	0.00	0.33	0.58	
HumanCicGFP	P18206	VCL	1	1	1.00	1	4	0.00	0.00	0.00	0.00	0.00	0.25	0.58	
HumanCicGFP	P21796	VDAC1	2	2	2.00	1	4	0.00	0.00	0.00	0.00	0.00	0.50	0.58	
HumanCicGFP	P45880	VDAC2	4	4	4.00	1	5	0.00	0.00	0.00	0.00	0.00	0.80	0.58	
HumanCicGFP	P08670	VIM	6	6	6.00	1	2	0.60	0.60	0.60	0.60	0.60	3.00	0.04	
HumanCicGFP	Q9UBQ0	VPS29	1	1	1.00	1	1	0.00	0.00	0.00	0.00	0.00	1.00	0.58	
HumanCicGFP	Q9BV38	WDR18	1	1	1.00	1	2	0.00	0.00	0.00	0.00	0.00	0.50	0.58	
HumanCicGFP	Q5T750	XP32	1	1	1.00	1	2	0.00	0.00	0.00	0.00	0.00	0.50	0.58	
HumanCicGFP	Q9NQH7	XPNPEP3	1	1	1.00	1	0	0.00	0.00	0.00	0.00	0.00	10.00	0.58	
HumanCicGFP	O14980	XPO1	2	2	2.00	1	2	0.00	0.00	0.00	0.00	0.00	1.00	0.58	
HumanCicGFP	Q9HAV4	XPO5	1	1	1.00	1	0	0.00	0.00	0.00	0.00	0.00	10.00	0.58	
HumanCicGFP	Q96QU8	XPO6	1	1	1.00	1	0	0.00	0.00	0.00	0.00	0.00	10.00	0.58	
HumanCicGFP	P13010	XRCC5	5	5	5.00	1	12	0.00	0.00	0.00	0.00	0.00	0.42	0.58	
HumanCicGFP	P12956	XRCC6	13	13	13.00	1	14	0.00	0.00	0.00	0.00	0.00	0.93	0.58	
HumanCicGFP	Q9H0D6	XRN2	1	1	1.00	1	0	0.00	0.00	0.00	0.00	0.00	10.00	0.58	
HumanCicGFP	P54577	YARS1	2	2	2.00	1	8	0.00	0.00	0.00	0.00	0.00	0.25	0.58	
HumanCicGFP	P67809	YBX1	3	3	3.00	1	4	0.00	0.00	0.00	0.00	0.00	0.75	0.58	
HumanCicGFP	P16989	YBX3	2	2	2.00	1	3	0.00	0.00	0.00	0.00	0.00	0.67	0.58	
HumanCicGFP	Q96TA2	YME1L1	1	1	1.00	1	0	0.00	0.00	0.00	0.00	0.00	10.00	0.58	
HumanCicGFP	Q86U90	YRDC	1	1	1.00	1	0	0.00	0.00	0.00	0.00	0.00	10.00	0.58	
HumanCicGFP	Q9Y5A9	YTHDF2	1	1	1.00	1	1	0.00	0.00	0.00	0.00	0.00	1.00	0.58	
HumanCicGFP	P31946	YWHAB	3	3	3.00	1	1	0.47	0.47	0.47	0.47	0.47	3.00	0.05	
HumanCicGFP	P62258	YWHAE	13	13	13.00	1	7	0.00	0.00	0.00	0.00	0.00	1.86	0.47	
HumanCicGFP	P61981	YWHAG	5	5	5.00	1	1	0.90	0.90	0.90	0.90	0.90	5.00	0.02	
HumanCicGFP	Q04917	YWHAH	5	5	5.00	1	1	0.90	0.90	0.90	0.90	0.90	5.00	0.02	
HumanCicGFP	P27348	YWHAQ	6	6	6.00	1	6	0.00	0.00	0.00	0.00	0.00	1.00	0.58	
HumanCicGFP	P63104	YWHAZ	3	3	3.00	1	3	0.00	0.00	0.00	0.00	0.00	1.00	0.58	
HumanCicGFP	Q8WU90	ZC3H15	3	3	3.00	1	1	0.47	0.47	0.47	0.47	0.47	3.00	0.05	
HumanCicGFP	Q7Z2W4	ZC3HAV1	3	3	3.00	1	0	0.99	0.99	0.99	0.99	0.99	30.00	0.00	
HumanCicGFP	Q96H79	ZC3HAV1L	2	2	2.00	1	1	0.19	0.19	0.19	0.19	0.19	2.00	0.13	
HumanCicGFP	Q9NUD5	ZCCHC3	1	1	1.00	1	1	0.00	0.00	0.00	0.00	0.00	1.00	0.58	
HumanCicGFP	Q96DA0	ZG16B	2	2	2.00	1	6	0.00	0.00	0.00	0.00	0.00	0.33	0.58	
HumanCicGFP	F8WAF8	ZNF140	1	1	1.00	1	0	0.00	0.00	0.00	0.00	0.00	10.00	0.58	
HumanCicGFP	Q5BKZ1	ZNF326	2	2	2.00	1	0	0.96	0.96	0.96	0.96	0.96	20.00	0.01	
