Bait	Prey	PreyGene	Spec	SpecSum	AvgSpec	NumReplicates	ctrlCounts	AvgP	MaxP	TopoAvgP	TopoMaxP	SaintScore	FoldChange	BFDR	boosted_by
HumanCicGFP	P26599	PTBP1	2	2	2.00	1	2	0.00	0.00	0.00	0.00	0.00	1.00	0.58	
HumanCicGFP	O95758	PTBP3	1	1	1.00	1	1	0.00	0.00	0.00	0.00	0.00	1.00	0.58	
HumanCicGFP	Q96EY7	PTCD3	1	1	1.00	1	1	0.00	0.00	0.00	0.00	0.00	1.00	0.58	
HumanCicGFP	Q8WUK0	PTPMT1	1	1	1.00	1	1	0.00	0.00	0.00	0.00	0.00	1.00	0.58	
HumanCicGFP	Q9UHX1	PUF60	6	6	6.00	1	6	0.00	0.00	0.00	0.00	0.00	1.00	0.58	
HumanCicGFP	Q00577	PURA	2	2	2.00	1	2	0.00	0.00	0.00	0.00	0.00	1.00	0.58	
HumanCicGFP	P11216	PYGB	1	1	1.00	1	0	0.00	0.00	0.00	0.00	0.00	10.00	0.58	
HumanCicGFP	P47897	QARS1	6	6	6.00	1	6	0.00	0.00	0.00	0.00	0.00	1.00	0.58	
HumanCicGFP	P61026	RAB10	1	1	1.00	1	1	0.00	0.00	0.00	0.00	0.00	1.00	0.58	
HumanCicGFP	P62491	RAB11A	3	3	3.00	1	2	0.03	0.03	0.03	0.03	0.03	1.50	0.35	
HumanCicGFP	P51153	RAB13	2	2	2.00	1	1	0.19	0.19	0.19	0.19	0.19	2.00	0.13	
HumanCicGFP	P61106	RAB14	1	1	1.00	1	2	0.00	0.00	0.00	0.00	0.00	0.50	0.58	
HumanCicGFP	P62820	RAB1A	2	2	2.00	1	2	0.00	0.00	0.00	0.00	0.00	1.00	0.58	
HumanCicGFP	P61019	RAB2A	2	2	2.00	1	2	0.00	0.00	0.00	0.00	0.00	1.00	0.58	
HumanCicGFP	O95716	RAB3D	1	1	1.00	1	1	0.00	0.00	0.00	0.00	0.00	1.00	0.58	
HumanCicGFP	P20339	RAB5A	2	2	2.00	1	2	0.00	0.00	0.00	0.00	0.00	1.00	0.58	
HumanCicGFP	P20340	RAB6A	1	1	1.00	1	2	0.00	0.00	0.00	0.00	0.00	0.50	0.58	
HumanCicGFP	P51149	RAB7A	5	5	5.00	1	4	0.00	0.00	0.00	0.00	0.00	1.25	0.47	
HumanCicGFP	P63244	RACK1	6	6	6.00	1	9	0.00	0.00	0.00	0.00	0.00	0.67	0.58	
HumanCicGFP	Q86SE5	RALYL	1	1	1.00	1	1	0.00	0.00	0.00	0.00	0.00	1.00	0.58	
HumanCicGFP	P62826	RAN	2	2	2.00	1	3	0.00	0.00	0.00	0.00	0.00	0.67	0.58	
HumanCicGFP	P43487	RANBP1	2	2	2.00	1	3	0.00	0.00	0.00	0.00	0.00	0.67	0.58	
HumanCicGFP	P46060	RANGAP1	1	1	1.00	1	0	0.00	0.00	0.00	0.00	0.00	10.00	0.58	
HumanCicGFP	P61224	RAP1B	1	1	1.00	1	1	0.00	0.00	0.00	0.00	0.00	1.00	0.58	
HumanCicGFP	P54136	RARS1	13	13	13.00	1	13	0.00	0.00	0.00	0.00	0.00	1.00	0.58	
HumanCicGFP	Q09028	RBBP4	1	1	1.00	1	3	0.00	0.00	0.00	0.00	0.00	0.33	0.58	
HumanCicGFP	Q15291	RBBP5	1	1	1.00	1	0	0.00	0.00	0.00	0.00	0.00	10.00	0.58	
HumanCicGFP	Q96PK6	RBM14	1	1	1.00	1	0	0.00	0.00	0.00	0.00	0.00	10.00	0.58	
HumanCicGFP	Q9NW13	RBM28	1	1	1.00	1	0	0.00	0.00	0.00	0.00	0.00	10.00	0.58	
HumanCicGFP	Q14498	RBM39	9	9	9.00	1	2	0.98	0.98	0.98	0.98	0.98	4.50	0.00	
HumanCicGFP	Q9Y5S9	RBM8A	2	2	2.00	1	2	0.00	0.00	0.00	0.00	0.00	1.00	0.58	
HumanCicGFP	P38159	RBMX	3	3	3.00	1	3	0.00	0.00	0.00	0.00	0.00	1.00	0.58	
HumanCicGFP	P18754	RCC1	3	3	3.00	1	2	0.03	0.03	0.03	0.03	0.03	1.50	0.35	
HumanCicGFP	Q9P258	RCC2	7	7	7.00	1	8	0.00	0.00	0.00	0.00	0.00	0.88	0.58	
HumanCicGFP	Q14257	RCN2	1	1	1.00	1	0	0.00	0.00	0.00	0.00	0.00	10.00	0.58	
HumanCicGFP	P35241	RDX	1	1	1.00	1	0	0.00	0.00	0.00	0.00	0.00	10.00	0.58	
HumanCicGFP	P35251	RFC1	1	1	1.00	1	0	0.00	0.00	0.00	0.00	0.00	10.00	0.58	
HumanCicGFP	P35250	RFC2	2	2	2.00	1	1	0.19	0.19	0.19	0.19	0.19	2.00	0.13	
HumanCicGFP	P35249	RFC4	2	2	2.00	1	4	0.00	0.00	0.00	0.00	0.00	0.50	0.58	
HumanCicGFP	Q5UIP0	RIF1	2	2	2.00	1	0	0.96	0.96	0.96	0.96	0.96	20.00	0.01	
HumanCicGFP	Q06587	RING1	1	1	1.00	1	0	0.00	0.00	0.00	0.00	0.00	10.00	0.58	
HumanCicGFP	Q8WVD3	RNF138	1	1	1.00	1	0	0.00	0.00	0.00	0.00	0.00	10.00	0.58	
HumanCicGFP	Q15287	RNPS1	1	1	1.00	1	1	0.00	0.00	0.00	0.00	0.00	1.00	0.58	
HumanCicGFP	P10155	RO60	1	1	1.00	1	4	0.00	0.00	0.00	0.00	0.00	0.25	0.58	
HumanCicGFP	P27694	RPA1	1	1	1.00	1	1	0.00	0.00	0.00	0.00	0.00	1.00	0.58	
HumanCicGFP	Q9H6T3	RPAP3	4	4	4.00	1	0	1.00	1.00	1.00	1.00	1.00	40.00	0.00	
HumanCicGFP	Q9H7B2	RPF2	1	1	1.00	1	0	0.00	0.00	0.00	0.00	0.00	10.00	0.58	
